City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,cairo,30.0626,31.2497,74.16,43,0,8.05,EG,1667849906
252,cidreira,-30.1811,-50.2056,64.18,78,15,13.02,BR,1667850199
253,tarko-sale,64.9225,77.785,20.95,96,100,10.02,RU,1667850200
254,sechura,-5.5569,-80.8222,75.42,60,27,13.85,PE,1667850200
255,san patricio,28.017,-97.5169,87.66,56,0,13.13,US,1667850200
256,vao,-22.6667,167.4833,74.61,84,83,18.01,NC,1667850201
257,airai,-8.9266,125.4092,61.75,86,100,1.1,TL,1667850201
258,grand gaube,-20.0064,57.6608,74.37,70,0,5.01,MU,1667850201
259,kencong,-8.2833,113.3667,75.7,91,94,1.83,ID,1667850202
260,tukrah,32.5341,20.5791,69.04,69,4,9.62,LY,1667850202
261,tsabong,-26.0217,22.401,62.83,78,99,11.97,BW,1667850202
262,chuy,-33.6971,-53.4616,65.3,61,3,12.24,UY,1667850203
263,koupela,12.1794,-0.3517,80.96,14,77,8.01,BF,1667850203
264,betong,5.7743,101.0723,70.66,99,92,2.26,TH,1667850203
265,auki,-8.7676,160.7034,79.03,86,87,6.55,SB,1667850204
266,gimli,50.6336,-96.9907,26.62,74,94,10.36,CA,1667849994
267,lagoa,39.05,-27.9833,62.89,66,100,18.3,PT,1667850204
268,puerto escondido,15.85,-97.0667,88.63,55,20,3.44,MX,1667850205
269,brae,60.3964,-1.353,50.5,87,100,20.98,GB,1667850205
270,faya,18.3851,42.4509,62.71,82,20,2.35,SA,1667850205
271,estelle,29.8458,-90.1067,86.0,61,40,9.22,US,1667850206
272,le port,-20.9373,55.2919,71.6,75,78,4.54,RE,1667850206
273,vestmannaeyjar,63.4427,-20.2734,43.74,82,100,14.32,IS,1667850207
274,zaysan,47.4667,84.8667,44.6,46,99,2.06,KZ,1667850207
275,barranca,-10.75,-77.7667,66.99,71,6,9.82,PE,1667850207
276,itarema,-2.9248,-39.9167,80.67,73,95,17.85,BR,1667850208
277,atlantic city,39.3643,-74.4229,80.78,29,0,13.8,US,1667849937
278,iqaluit,63.7506,-68.5145,19.13,67,75,16.11,CA,1667850208
279,meiganga,6.5167,14.3,69.3,77,100,3.89,CM,1667850209
